model,experiment,dataset_name,benchmark_mode,seed,accuracy,macro_f1,weighted_f1,mcc,ece_10_bins,brier_score,mean_confidence,train_rows,val_rows,test_rows,text_hash_leakage_count,git_commit_sha,summary_file,seconds
tfidf_linear_svm,classical,phrasebank,phrasebank_in_domain,13,0.7497393117831074,0.6940939383858322,0.7429403249719831,0.52524874842932,,,,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/classical_baseline_summary_20260502_080309.csv,15.363808988127857
tfidf_logistic_regression,classical,phrasebank,phrasebank_in_domain,13,0.7403545359749739,0.6838345924028509,0.7363730808769835,0.5169146712870739,0.1732326591790026,0.4249907519894779,0.5671218767959714,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/classical_baseline_summary_20260502_080309.csv,15.363808988127857
tfidf_sgd_log_loss,classical,phrasebank,phrasebank_in_domain,13,0.748696558915537,0.68088247093019,0.7371150995970047,0.5201793159923501,0.1005531053969383,0.3776852670904935,0.649086139053147,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/classical_baseline_summary_20260502_080309.csv,15.363808988127857
tfidf_xgboost,classical,phrasebank,phrasebank_in_domain,13,0.7205422314911366,0.6216002964935942,0.6941851728305787,0.4516629517551589,0.0320514387395757,0.3931086922436307,0.7105295658111572,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/classical_baseline_summary_20260502_080309.csv,15.363808988127857
tfidf_random_forest,classical,phrasebank,phrasebank_in_domain,13,0.7194994786235662,0.5935286700616955,0.6869224374606837,0.449049600101699,0.043499982986473,0.3947969566327045,0.713903867543661,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/classical_baseline_summary_20260502_080309.csv,15.363808988127857
tfidf_multinomial_nb,classical,phrasebank,phrasebank_in_domain,13,0.6517205422314911,0.3938322330899109,0.5717612132567826,0.2707436842374519,0.105582031511964,0.4690837657899139,0.7540505294153562,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/classical_baseline_summary_20260502_080309.csv,15.363808988127857
majority_baseline,classical,phrasebank,phrasebank_in_domain,13,0.5985401459854015,0.2496194824961948,0.4482218444822184,0.0,0.4014598540145985,0.8029197080291971,1.0,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/classical_baseline_summary_20260502_080309.csv,15.363808988127857
finbert_base_zero_shot_ProsusAI/finbert,finbert_zero_shot,phrasebank,phrasebank_in_domain,13,0.8832116788321168,0.883577944220483,0.884371899912633,0.800280555782886,0.0235624849734142,0.176186948733635,0.8746345639228821,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/finbert_baseline_summary_20260502_080329.csv,11.585708813974634
finbert_finetuned_ProsusAI/finbert,finbert_finetuned,phrasebank,phrasebank_in_domain,13,0.8738269030239834,0.8662643252420299,0.8746844788458663,0.7705211471574336,0.0463473814558063,0.1800808306538415,0.9201743006706238,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/finbert_baseline_summary_20260502_080340.csv,84.66271509509534
tfidf_linear_svm,classical,phrasebank,phrasebank_in_domain,21,0.7497393117831074,0.6940939383858322,0.7429403249719831,0.52524874842932,,,,3353,479,959,0,5c8a2bfe88e0e6103c6e8d4532c5070d15dc028e,results/2026-05-02/classical_baseline_summary_20260502_080510.csv,16.507584298029542
