id,source_dataset,source,published_at,title,summary,text,source_url,char_len,token_len,positive_term_count,negative_term_count,positive_term_rate,negative_term_rate,lexicon_net_score,up_term_count,down_term_count,direction_net_score,uncertainty_count,negation_count,money_count,percent_count,number_count,ticker_like_count,all_caps_count,has_numeric_signal,weak_label,label
WP-MKTW-0004961584,financial_news_rss,MarketWatch.com - Top Stories,"Thu, 30 Apr 2026 12:05:00 GMT",Will I get my deposit back on my rental if I make minor renovations — and paint the walls a different color?,“Why not just make my rental my project? Is this a bad idea”,Will I get my deposit back on my rental if I make minor renovations — and paint the walls a different color?. “Why not just make my rental my project? Is this a bad idea”,https://www.marketwatch.com/story/will-i-get-my-deposit-back-on-my-rental-if-i-make-minor-renovations-and-paint-the-walls-a-different-color-da011735?mod=mw_rss_topstories,170,34,0,0,0.0,0.0,0.0,0,0,0.0,0,1,0,0,0,0,0,0,neutral,neutral
WP-MKTW-0004957994,financial_news_rss,MarketWatch.com - Top Stories,"Thu, 30 Apr 2026 12:00:00 GMT",‘I am her scapegoat’: My mother-in-law squandered all her money. Do we buy her a house so she’s not homeless?,“She blames me for her poor relationship with her son and grandchildren.”,‘I am her scapegoat’: My mother-in-law squandered all her money. Do we buy her a house so she’s not homeless?. “She blames me for her poor relationship with her son and grandchildren.”,https://www.marketwatch.com/story/i-am-her-scapegoat-my-mother-in-law-squandered-all-her-money-do-we-buy-her-a-house-so-shes-not-homeless-a8cbfa1c?mod=mw_rss_topstories,184,33,0,0,0.0,0.0,0.0,0,0,0.0,0,1,0,0,0,0,1,0,neutral,neutral
WP-MKTW-0004961391,financial_news_rss,MarketWatch.com - Top Stories,"Thu, 30 Apr 2026 11:58:00 GMT",Royal Caribbean says people booking cruises aren’t so worried about Iran anymore,"Cruise bookings slowed in March and into April, but are now back above year-ago levels, Royal Caribbean says.","Royal Caribbean says people booking cruises aren’t so worried about Iran anymore. Cruise bookings slowed in March and into April, but are now back above year-ago levels, Royal Caribbean says.",https://www.marketwatch.com/story/royal-caribbean-says-people-booking-cruises-arent-so-worried-about-iran-anymore-b7fdae49?mod=mw_rss_topstories,191,31,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,neutral,neutral
WP-MKTW-0004954332,financial_news_rss,MarketWatch.com - Top Stories,"Thu, 30 Apr 2026 11:47:00 GMT",‘I’m not interested in long-term care insurance’: I’d like to retire at 55. How much will I have to pay for healthcare?,“The only thing holding me back is worrying about medical costs.”,‘I’m not interested in long-term care insurance’: I’d like to retire at 55. How much will I have to pay for healthcare?. “The only thing holding me back is worrying about medical costs.”,https://www.marketwatch.com/story/im-not-interested-in-long-term-care-insurance-id-like-to-retire-at-55-how-much-will-i-have-to-pay-for-healthcare-a4659d9b?mod=mw_rss_topstories,186,34,0,0,0.0,0.0,0.0,0,0,0.0,0,1,0,0,1,0,0,1,neutral,neutral
WP-MKTW-0004961012,financial_news_rss,MarketWatch.com - Top Stories,"Thu, 30 Apr 2026 11:36:00 GMT",Big Tech’s AI build-out needs these 3 companies to keep the lights on — and they’re cashing in,"The headlines focus on apps, but the big money is flowing to agentic AI’s boring industrial backbone.","Big Tech’s AI build-out needs these 3 companies to keep the lights on — and they’re cashing in. The headlines focus on apps, but the big money is flowing to agentic AI’s boring industrial backbone.",https://www.marketwatch.com/story/big-techs-ai-build-out-needs-these-3-companies-to-keep-the-lights-on-and-theyre-cashing-in-e46bcba2?mod=mw_rss_topstories,197,36,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,1,2,1,1,neutral,neutral
WP-MKTW-0004956588,financial_news_rss,MarketWatch.com - Top Stories,"Thu, 30 Apr 2026 11:25:00 GMT",Lilly is now selling $12.9 billion of GLP-1 drugs every three months and expects to sell even more,Eli Lilly said its tirzepatide franchise had another stellar quarter.,Lilly is now selling $12.9 billion of GLP-1 drugs every three months and expects to sell even more. Eli Lilly said its tirzepatide franchise had another stellar quarter.,https://www.marketwatch.com/story/lillys-stock-rallies-as-sales-of-glp-1-drugs-nearly-double-09c01977?mod=mw_rss_topstories,169,28,0,0,0.0,0.0,0.0,0,0,0.0,1,0,1,0,2,1,1,1,neutral,neutral
WP-MKTW-0004959575,financial_news_rss,MarketWatch.com - Top Stories,"Thu, 30 Apr 2026 11:10:00 GMT",Is the Intel stock hype overdone? How to make sense of the latest big move.,"“The excitement is at a point where every little bit of possible good news is driving shares higher,” one analyst says.","Is the Intel stock hype overdone? How to make sense of the latest big move.. “The excitement is at a point where every little bit of possible good news is driving shares higher,” one analyst says.",https://www.marketwatch.com/story/is-the-intel-stock-hype-overdone-how-to-make-sense-of-the-latest-big-move-a88a6953?mod=mw_rss_topstories,196,36,1,0,0.027777777777777776,0.0,0.027777777777777776,1,0,0.027777777777777776,0,0,0,0,0,0,0,0,positive,positive
WP-MKTW-0004958465,financial_news_rss,MarketWatch.com - Top Stories,"Thu, 30 Apr 2026 11:02:00 GMT","Forget buy the dip. Now retail investors are ‘trading the mania’ in chip stocks, and it’s about to get messy.","Goldman Sachs’ traders say investors have been chasing the hot semiconductor sector, but with some high-stakes bets that may be hard to get out of should things go wrong.","Forget buy the dip. Now retail investors are ‘trading the mania’ in chip stocks, and it’s about to get messy.. Goldman Sachs’ traders say investors have been chasing the hot semiconductor sector, but with some high-stakes bets that may be hard to get out of should things go wrong.",https://www.marketwatch.com/story/forget-buy-the-dip-now-retail-investors-are-trading-the-mania-in-chip-stocks-and-its-about-to-get-messy-08ef5540?mod=mw_rss_topstories,281,50,0,0,0.0,0.0,0.0,0,0,0.0,1,0,0,0,0,0,0,0,neutral,neutral
WP-MKTW-0004958349,financial_news_rss,MarketWatch.com - Top Stories,"Thu, 30 Apr 2026 11:00:00 GMT","‘I’m very late to the game’: I’m 48, earn $65,000, have $48,000 in debt and no retirement. Am I doomed?",“I do not have any inheritance from anyone coming my way as I lost most of my immediate family when young.”,"‘I’m very late to the game’: I’m 48, earn $65,000, have $48,000 in debt and no retirement. Am I doomed?. “I do not have any inheritance from anyone coming my way as I lost most of my immediate family when young.”",https://www.marketwatch.com/story/im-very-late-to-the-game-im-48-earn-65-000-have-48-000-in-debt-and-no-retirement-am-i-doomed-36206d6c?mod=mw_rss_topstories,212,42,0,0,0.0,0.0,0.0,0,0,0.0,0,2,2,0,5,0,1,1,neutral,neutral
WP-MKTW-0004961217,financial_news_rss,MarketWatch.com - Top Stories,"Thu, 30 Apr 2026 09:21:00 GMT",Oil prices drop after earlier reaching four-year high as Iran developments eyed,"Oil futures tumbled in the early hours of Thursday, reversing direction after reaching a four-year high on a report that President Donald Trump is considering escalating the war in Iran.","Oil prices drop after earlier reaching four-year high as Iran developments eyed. Oil futures tumbled in the early hours of Thursday, reversing direction after reaching a four-year high on a report that President Donald Trump is considering escalating the war in Iran.",https://www.marketwatch.com/story/oil-prices-climb-to-four-year-high-above-120-after-report-that-trump-is-considering-further-military-action-in-iran-9785eb43?mod=mw_rss_topstories,267,42,0,1,0.0,0.023809523809523808,-0.023809523809523808,0,1,-0.023809523809523808,0,0,0,0,0,0,0,0,negative,negative
