source_dataset,split,label,rows
financial_phrasebank,test,negative,119
financial_phrasebank,test,neutral,574
financial_phrasebank,test,positive,266
financial_phrasebank,train,negative,414
financial_phrasebank,train,neutral,2008
financial_phrasebank,train,positive,931
financial_phrasebank,val,negative,59
financial_phrasebank,val,neutral,287
financial_phrasebank,val,positive,133
fiqa,test,negative,137
fiqa,test,neutral,17
fiqa,test,positive,69
fiqa,train,negative,477
fiqa,train,neutral,59
fiqa,train,positive,241
fiqa,val,negative,68
fiqa,val,neutral,8
fiqa,val,positive,35
